City Name,Country,Latitude,Longitude,Humidity (%),Temperature (F),Max Temp (F),Cloudiness (%),Wind Speed (mph),Date
Sabang,ID,5.8933,95.3214,71,27.29,27.29,99,0.05,1970-01-01 00:00:01.634771567
Rikitea,PF,-23.1203,-134.9692,72,23.75,23.75,25,9.34,1970-01-01 00:00:01.634771567
Vaini,TO,-21.2,-175.2,78,27.09,27.09,20,4.63,1970-01-01 00:00:01.634771390
Avarua,CK,-21.2078,-159.775,65,25.03,25.03,75,3.09,1970-01-01 00:00:01.634771568
Broome,US,42.2506,-75.833,4,15.94,17.1,62,0.93,1970-01-01 00:00:01.634771568
Maragheh,IR,37.3917,46.2398,72,10.05,10.05,78,4.13,1970-01-01 00:00:01.634771569
South valley,US,35.0101,-106.6781,19,20.88,22.5,20,3.09,1970-01-01 00:00:01.634771569
Kapaa,US,22.0752,-159.319,64,27.58,28.99,1,1.34,1970-01-01 00:00:01.634771570
Paamiut,GL,61.994,-49.6678,58,2.23,2.23,0,1.43,1970-01-01 00:00:01.634771570
Samusu,,,,,,,,,
Illoqqortoormiut,,,,,,,,,
Carnarvon,AU,-24.8667,113.6333,65,19.66,19.66,90,5.76,1970-01-01 00:00:01.634771467
Jamestown,US,42.097,-79.2353,63,14.97,15.8,20,3.6,1970-01-01 00:00:01.634771571
Richards bay,ZA,-28.783,32.0377,71,17.36,17.36,1,4.76,1970-01-01 00:00:01.634771571
Qandala,SO,11.472,49.8728,43,26.47,26.47,63,0.95,1970-01-01 00:00:01.634771572
Hithadhoo,MV,-0.6,73.0833,76,27.27,27.27,100,4.62,1970-01-01 00:00:01.634771572
Karlskrona,SE,56.1616,15.5866,85,12.25,12.25,100,10.05,1970-01-01 00:00:01.634771572
Esperance,AU,-33.8667,121.9,76,15.12,15.12,10,8.13,1970-01-01 00:00:01.634771473
Ushuaia,AR,-54.8,-68.3,40,9.81,9.81,20,5.14,1970-01-01 00:00:01.634771573
Kulhudhuffushi,MV,6.6221,73.07,75,27.39,27.39,100,4.77,1970-01-01 00:00:01.634771573
Senador jose porfirio,BR,-2.5908,-51.9542,84,25.95,25.95,98,0.8,1970-01-01 00:00:01.634771574
Tsihombe,,,,,,,,,
Dunedin,NZ,-45.8742,170.5036,57,11.56,11.56,72,2.24,1970-01-01 00:00:01.634771574
Jose bonifacio,BR,-21.0528,-49.6883,65,20.17,20.17,7,6.59,1970-01-01 00:00:01.634771575
Buon me thuot,,,,,,,,,
Varna,BG,43.2167,27.9167,96,8.6,12.47,0,1.54,1970-01-01 00:00:01.634771575
Karamay,,,,,,,,,
Palauig,PH,15.435,119.9045,76,27.42,27.42,56,1.4,1970-01-01 00:00:01.634771576
Xinzhou,CN,38.4092,112.7333,49,2.75,2.75,0,1.34,1970-01-01 00:00:01.634771576
Hilo,US,19.7297,-155.09,67,26.08,26.85,40,5.14,1970-01-01 00:00:01.634771389
Santa cruz del norte,CU,23.1539,-81.9236,81,26.54,27.34,72,7.21,1970-01-01 00:00:01.634771577
Mataura,NZ,-46.1927,168.8643,51,11.06,11.06,98,1.11,1970-01-01 00:00:01.634771577
Barentsburg,,,,,,,,,
Nikolskoye,RU,59.7035,30.7861,90,12.2,12.94,100,7.75,1970-01-01 00:00:01.634771407
Springbok,ZA,-29.6643,17.8865,37,17.14,17.14,43,2.64,1970-01-01 00:00:01.634771578
Yellowknife,CA,62.456,-114.3525,81,6.14,6.34,80,5.81,1970-01-01 00:00:01.634771578
Tuktoyaktuk,CA,69.4541,-133.0374,79,-2.33,-2.33,95,3.2,1970-01-01 00:00:01.634771579
Puerto ayora,EC,-0.7393,-90.3518,81,21.67,21.67,96,5.43,1970-01-01 00:00:01.634771398
Busselton,AU,-33.65,115.3333,73,13.91,13.91,98,6.51,1970-01-01 00:00:01.634771392
Pasir mas,MY,6.0493,102.1399,94,23.65,23.65,100,1.44,1970-01-01 00:00:01.634771579
Amderma,,,,,,,,,
Bluff,NZ,-46.6,168.3333,56,9.3,9.3,100,1.53,1970-01-01 00:00:01.634771580
Ndele,CF,8.4109,20.6473,96,21.48,21.48,100,2.34,1970-01-01 00:00:01.634771581
Belushya guba,,,,,,,,,
Fairbanks,US,64.8378,-147.7164,63,2.42,4,40,2.57,1970-01-01 00:00:01.634771581
Brae,GB,60.3964,-1.353,63,4.95,4.95,97,16.3,1970-01-01 00:00:01.634771582
Evensk,RU,61.95,159.2333,71,-12.25,-12.25,91,4.07,1970-01-01 00:00:01.634771583
Oyama,JP,36.3,139.8,54,13.59,13.91,37,1.17,1970-01-01 00:00:01.634771583
Cape town,ZA,-33.9258,18.4232,73,16.15,17.27,98,1.34,1970-01-01 00:00:01.634771375
Souillac,MU,-20.5167,57.5167,83,22.98,22.98,20,3.58,1970-01-01 00:00:01.634771584
New norfolk,AU,-42.7826,147.0587,51,16.92,17.59,91,0.89,1970-01-01 00:00:01.634771584
Kushima,JP,31.4583,131.2333,70,16.26,16.26,100,2.34,1970-01-01 00:00:01.634771585
Castro,BR,-24.7911,-50.0119,94,11.11,11.11,59,3.43,1970-01-01 00:00:01.634771388
Prachuap khiri khan,TH,12.2167,99.75,95,26.49,26.49,91,1.04,1970-01-01 00:00:01.634771585
Hobart,AU,-42.8794,147.3294,56,17.04,17.79,94,3.58,1970-01-01 00:00:01.634771547
Kodiak,US,57.79,-152.4072,81,6.73,6.73,90,4.12,1970-01-01 00:00:01.634771586
Torbay,CA,47.6666,-52.7314,96,9.25,9.76,90,4.63,1970-01-01 00:00:01.634771586
Axim,GH,4.8699,-2.2405,88,25.33,25.33,77,3.75,1970-01-01 00:00:01.634771587
Plettenberg bay,ZA,-34.0527,23.3716,59,19.21,19.21,75,1.6,1970-01-01 00:00:01.634771517
Terra santa,BR,-2.1042,-56.4869,59,28.99,28.99,98,0.06,1970-01-01 00:00:01.634771472
Porto novo,BJ,6.4965,2.6036,88,25.47,25.47,98,1.96,1970-01-01 00:00:01.634771587
Ubatuba,BR,-23.4339,-45.0711,89,18.13,18.13,100,2.02,1970-01-01 00:00:01.634771588
Handwara,,,,,,,,,
Riyadh,SA,24.6877,46.7219,21,23.08,23.08,0,2.21,1970-01-01 00:00:01.634771425
Saldanha,ZA,-33.0117,17.9442,82,15.66,15.66,45,8.36,1970-01-01 00:00:01.634771588
Sanger,US,36.708,-119.556,30,24.18,26.5,75,1.54,1970-01-01 00:00:01.634771589
Albany,US,42.6001,-73.9662,68,16.32,19.23,68,2.18,1970-01-01 00:00:01.634771380
Punta arenas,CL,-53.15,-70.9167,53,9.01,9.06,20,5.66,1970-01-01 00:00:01.634771589
Saint george,US,37.1041,-113.5841,24,22.33,23.68,1,0.45,1970-01-01 00:00:01.634771332
Beisfjord,NO,68.3751,17.5988,88,-1.06,-0.42,100,4,1970-01-01 00:00:01.634771590
Port elizabeth,ZA,-33.918,25.5701,87,16.92,16.92,37,3.59,1970-01-01 00:00:01.634771352
Atuona,PF,-9.8,-139.0333,82,24.91,24.91,14,7.29,1970-01-01 00:00:01.634771590
Lompoc,US,34.6391,-120.4579,56,20.2,24.49,1,6.17,1970-01-01 00:00:01.634771591
Namibe,AO,-15.1961,12.1522,91,19.19,19.19,34,4.37,1970-01-01 00:00:01.634771591
Chokurdakh,RU,70.6333,147.9167,96,-26.86,-26.86,91,1.26,1970-01-01 00:00:01.634771396
Sidi ali,DZ,36.0998,0.4206,43,20.33,20.33,10,1.35,1970-01-01 00:00:01.634771592
Butaritari,KI,3.0707,172.7902,75,27.4,27.4,26,4.5,1970-01-01 00:00:01.634771592
Ngukurr,,,,,,,,,
Grand river south east,,,,,,,,,
Manaure,CO,11.7751,-72.4445,65,30.29,30.29,80,5.12,1970-01-01 00:00:01.634771593
Kaitangata,NZ,-46.2817,169.8464,53,10.97,10.97,99,1.37,1970-01-01 00:00:01.634771530
Cherskiy,RU,68.75,161.3,100,-20.48,-20.48,100,2.53,1970-01-01 00:00:01.634771593
Yerbogachen,RU,61.2767,108.0108,92,1.1,1.1,100,4.24,1970-01-01 00:00:01.634771594
Belaya gora,RU,68.5333,146.4167,96,-22.79,-22.79,61,1.14,1970-01-01 00:00:01.634771594
Wajima,JP,37.4,136.9,62,12.88,12.88,93,5.82,1970-01-01 00:00:01.634771595
Roald,NO,62.5833,6.1333,81,6.38,7.08,75,7.72,1970-01-01 00:00:01.634771595
Marhaura,IN,25.9667,84.8667,94,20.96,20.96,32,2.58,1970-01-01 00:00:01.634771595
Viedma,AR,-40.8135,-62.9967,47,16.76,16.76,0,7.71,1970-01-01 00:00:01.634771424
Saryg-sep,RU,51.5,95.6,60,-1.53,-1.53,0,1.55,1970-01-01 00:00:01.634771596
Date,JP,42.4681,140.8681,82,8.4,8.4,95,6.9,1970-01-01 00:00:01.634771596
Sokolo,ML,14.7328,-6.1219,24,28.53,28.53,79,2.7,1970-01-01 00:00:01.634771597
Barrow,US,71.2906,-156.7887,86,-1.99,-1.99,90,9.77,1970-01-01 00:00:01.634771597
Kaniama,CD,-7.5667,24.1833,95,19.1,19.1,95,1.45,1970-01-01 00:00:01.634771598
Rio grande,BR,-32.035,-52.0986,67,16.08,16.08,24,5.69,1970-01-01 00:00:01.634771546
Mount isa,AU,-20.7333,139.5,37,29.87,29.87,84,2.57,1970-01-01 00:00:01.634771598
Iranshahr,IR,27.2025,60.6848,37,24.69,24.69,0,0.87,1970-01-01 00:00:01.634771599
San policarpo,PH,12.1791,125.5072,80,27.53,27.53,88,1.86,1970-01-01 00:00:01.634771599
Ipixuna,BR,-1.7625,-48.8043,86,26.97,26.97,63,2.38,1970-01-01 00:00:01.634771599
Rio verde de mato grosso,BR,-18.9181,-54.8442,52,27.14,27.14,86,3.58,1970-01-01 00:00:01.634771600
Taolanaro,,,,,,,,,
Constitucion,CL,-35.3333,-72.4167,87,11.74,11.74,12,1.32,1970-01-01 00:00:01.634771600
Mar del plata,AR,-38.0023,-57.5575,43,15.78,16.72,0,2.68,1970-01-01 00:00:01.634771601
Wanxian,CN,30.8039,108.3897,89,12.17,12.17,100,1.63,1970-01-01 00:00:01.634771601
Attawapiskat,,,,,,,,,
Araouane,ML,18.9048,-3.5265,23,23.97,23.97,37,5.16,1970-01-01 00:00:01.634771601
Grafton,US,42.207,-71.6856,77,15.26,16.95,57,2.3,1970-01-01 00:00:01.634771538
Faya,SA,18.3851,42.4509,29,14.29,14.29,2,3.01,1970-01-01 00:00:01.634771602
Kampot,KH,10.6167,104.1833,91,25.03,25.03,94,1.58,1970-01-01 00:00:01.634771602
Cidreira,BR,-30.1811,-50.2056,67,17.43,17.43,95,7.39,1970-01-01 00:00:01.634771603
Bredasdorp,ZA,-34.5322,20.0403,98,16.27,16.27,87,2.19,1970-01-01 00:00:01.634771603
